"IdTipoBeneficio_T";"IdAreaDeServicio_T";"IdCondicionDePagoCopago_T";"IdCondicionDePagoCoseguro_T";"IdNivelServicio_T";"IdPlan_T";"Fecha";"IdProveedor_T";"valorCopago";"valorCoseguro";"cantidadLimite"
595;38002018;238;45;1;"33602TX0460692-03";"2018-12-31";33602;0;0;0
80;38002018;238;45;1;"33602TX0460692-03";"2018-12-31";33602;0;0;0
820;71362018;238;45;1;"54192IN0010016-02";"2018-12-31";54192;0;0;0
790;104352017;238;36;1;"91762NJ0070093-00";"2017-12-31";91762;50;0;30
880;26312018;238;36;1;"27248TX0010008-02";"2018-12-31";27248;0;0;0
395;52482017;34;45;3;"40047MI0070001-00";"2017-12-31";40047;0;100;0
255;14492018;34;27;3;"20129IL0330059-01";"2018-12-31";20129;0;20;0
305;67652018;34;45;3;"54192IN0010010-00";"2018-12-31";54192;0;100;0
1055;96502017;34;27;3;"87571OK0460011-04";"2017-12-31";87571;0;50;0
80;36952017;238;45;1;"32753MO0770034-04";"2017-12-31";32753;0;0;0
735;113162017;238;45;2;"98185MI0550001-00";"2017-12-31";98185;0;0;0
330;64232017;34;18;1;"46275MI0010016-01";"2017-12-31";46275;0;0;30
235;28312018;34;27;1;"28162OH0090052-00";"2018-12-31";28162;0;10;0
710;47902017;207;18;1;"38166WI0150005-00";"2017-12-31";38166;0;0;0
880;51932017;34;45;3;"40047MI0070001-00";"2017-12-31";40047;0;100;0
540;51932017;34;45;3;"40047MI0070001-00";"2017-12-31";40047;0;100;0
250;46512018;238;45;2;"37833WI0510083-06";"2018-12-31";37833;0;0;0
540;36912017;34;27;2;"32753MO0770034-04";"2017-12-31";32753;0;50;0
395;76742018;238;45;2;"66252TX0030004-00";"2018-12-31";66252;0;0;0
790;16902018;238;45;1;"20129IL0340049-02";"2018-12-31";20129;0;0;60
790;111722018;34;36;2;"96751NH0150027-06";"2018-12-31";96751;0;0;20
825;62922018;238;45;2;"45636KY0010029-03";"2018-12-31";45636;0;0;1
330;27092018;238;36;1;"27248TX0010008-02";"2018-12-31";27248;0;0;0
140;61962018;238;45;2;"41921VA0020029-03";"2018-12-31";41921;0;0;0
175;38492017;34;27;1;"33602TX0770036-05";"2017-12-31";33602;0;20;0
130;97942018;238;36;1;"89942GA0060004-01";"2018-12-31";89942;70;0;0
490;37932018;34;36;2;"33602TX0460570-01";"2018-12-31";33602;0;0;0
590;28102018;238;45;2;"28162OH0060072-00";"2018-12-31";28162;0;0;0
330;46442018;34;27;1;"37833WI0510075-03";"2018-12-31";37833;0;40;60
790;52762017;34;27;1;"40047MI0070001-00";"2017-12-31";40047;0;20;30
480;30152018;34;45;3;"29418TX0140002-04";"2018-12-31";29418;0;100;0
735;97442017;51;36;1;"89942GA0060004-01";"2017-12-31";89942;0;0;0
1055;97582017;34;27;1;"89942GA0060004-01";"2017-12-31";89942;0;25;0
750;46602018;238;45;2;"37833WI0510083-06";"2018-12-31";37833;0;0;0
420;31712017;34;27;1;"29698MI0540001-00";"2017-12-31";29698;0;30;0
480;49512017;238;45;2;"38166WI0180012-06";"2017-12-31";38166;0;0;0
330;52012017;34;45;3;"40047MI0070001-00";"2017-12-31";40047;0;100;30
15;52012017;238;45;3;"40047MI0070001-00";"2017-12-31";40047;0;0;0
225;38082018;34;45;3;"33602TX0460722-01";"2018-12-31";33602;0;100;0
360;69392018;238;45;1;"54192IN0010012-02";"2018-12-31";54192;0;0;0
790;113762017;238;45;2;"99248TN0060001-01";"2017-12-31";99248;0;0;0
620;61762018;34;45;3;"41921VA0020029-03";"2018-12-31";41921;0;100;0
435;19812017;238;45;2;"21663FL0130009-01";"2017-12-31";21663;0;0;0
775;99472017;34;45;3;"91450AZ0080035-02";"2017-12-31";91450;0;100;0
330;84862017;34;18;1;"70893GA0010009-04";"2017-12-31";70893;0;0;40
900;43102018;238;45;2;"36096IL0990168-02";"2018-12-31";36096;0;0;0
130;61432018;34;45;3;"41921VA0020029-03";"2018-12-31";41921;0;100;0
990;23292018;34;27;3;"23603MT0300002-00";"2018-12-31";23603;0;25;0
640;43832018;34;36;2;"36096IL0990188-00";"2018-12-31";36096;0;0;0
215;86192017;238;45;3;"72034NM0170001-00";"2017-12-31";72034;0;0;0
105;80412017;238;45;2;"66252TX0050001-00";"2017-12-31";66252;0;0;0
405;80412017;34;45;3;"66252TX0050001-00";"2017-12-31";66252;0;100;0
750;40392018;34;45;3;"36096IL0810111-00";"2018-12-31";36096;0;100;0
225;109622017;34;36;2;"96667ME0260012-03";"2017-12-31";96667;0;0;0
335;34532018;238;45;2;"30751MT0650009-00";"2018-12-31";30751;0;0;0
895;38562017;34;27;3;"33602TX0770087-00";"2017-12-31";33602;0;50;0
415;45032018;34;27;1;"36239KY1140035-06";"2018-12-31";36239;0;50;0
360;61952018;34;45;3;"41921VA0020029-03";"2018-12-31";41921;0;100;0
875;972017;34;27;3;"11269WY0080014-00";"2017-12-31";11269;0;25;0
